company_id,from_year,to_year,previous_pattern,new_pattern,change
TATAPOWER,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
TATAPOWER,2017,2018,Mixed,Reinvestor,Mixed -> Reinvestor
TATAPOWER,2020,2021,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TATAPOWER,2021,2022,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TATAPOWER,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
TATAPOWER,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
TATASTEEL,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
TATASTEEL,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
TATASTEEL,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
TATASTEEL,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
TCS,2017,2018,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TCS,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TCS,2022,2023,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TECHM,2013,2014,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
TECHM,2014,2015,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TECHM,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TECHM,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TECHM,2021,2022,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TECHM,2022,2023,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TITAN,2013,2014,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
TITAN,2014,2015,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
TITAN,2017,2018,Reinvestor,Unknown,Reinvestor -> Unknown
TITAN,2018,2019,Unknown,Reinvestor,Unknown -> Reinvestor
TITAN,2019,2020,Reinvestor,Unknown,Reinvestor -> Unknown
TITAN,2020,2021,Unknown,Reinvestor,Unknown -> Reinvestor
TITAN,2021,2022,Reinvestor,Unknown,Reinvestor -> Unknown
TITAN,2022,2023,Unknown,Mixed,Unknown -> Mixed
TITAN,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
TORNTPHARM,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
TORNTPHARM,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
TORNTPHARM,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
TORNTPHARM,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TORNTPHARM,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TORNTPHARM,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
TORNTPHARM,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
TRENT,2013,2014,Mixed,Pre-Revenue,Mixed -> Pre-Revenue
TRENT,2014,2015,Pre-Revenue,Growth Funded by Debt,Pre-Revenue -> Growth Funded by Debt
TRENT,2015,2016,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
TRENT,2018,2019,Reinvestor,Mixed,Reinvestor -> Mixed
TRENT,2020,2021,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
TRENT,2022,2023,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TVSMOTOR,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
TVSMOTOR,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
